id|name|code|description
1|İkinci el eşya ticareti|47.79.04|Kullanılmış mobilya, elektrikli ve elektronik ev eşyası perakende ticareti
2|İkinci el eşya ticareti|47.79.90|Diğer ikinci el eşya perakende ticareti (ikinci el motorlu kara taşıtları ve motosiklet parçaları hariç)
3|İkinci el eşya ticareti|47.92.00|Uzmanlaşmış perakende ticaret için aracılık hizmeti faaliyetleri
4|İkinci el eşya ticareti|77.22.99|Başka yerde sınıflandırılmamış diğer kişisel ve ev eşyalarının kiralanması ve operasyonel leasingi (müzik aleti, giyim eşyası, mücevher vb. ile video kasetler, büro mobilyaları, eğlence ve spor ekipmanları hariç)
5|Kerestecilik|02.40.01|Ormanda ağaçların kesilmesi, dallarından temizlenmesi, soyulması vb. destekleyici faaliyetler
6|Kerestecilik|02.40.02|Ormanda kesilmiş ve temizlenmiş ağaçların taşınması, istiflenmesi ve yüklenmesi faaliyetleri
7|Kerestecilik|16.11.01|Kereste imalatı (ağaçların biçilmesi, planyalanması, rendelenmesi ve şekillendirilmesi faaliyetleri)
8|Kerestecilik|16.12.00|Ahşabın işlenmesi ve bitirilmesi (bir ücret veya sözleşmeye dayalı olarak gerçekleştirilen)
9|Kerestecilik|46.13.02|Kereste ve kereste ürünlerinin toptan satışı ile ilgili aracıların faaliyetleri
10|Kerestecilik|46.83.02|Ağacın ilk işlenmesinden elde edilen ürünlerin toptan ticareti
11|Kerestecilik|46.83.12|İşlenmemiş ağaç (tomruk-ham haldeki) toptan ticareti (orman ağaçları, endüstriyel odunlar vb.)
12|Kerestecilik|47.52.10|Ağacın ilk işlenmesinden elde edilen ürünlerin perakende ticareti (kereste, ağaç talaşı ve yongası, kontrplak, yonga ve lifli levhalar (mdf, sunta vb.), parke, ahşap varil, fıçı ve diğer muhafazalar, vb.)
13|Marangozluk|16.11.02|Ahşap demir yolu veya tramvay traversi imalatı
14|Marangozluk|16.11.03|Ağaç yünü, ağaç unu, ağaç talaşı, ağaç yonga imalatı
15|Marangozluk|16.11.04|Ahşap döşemelerin ve yer döşemelerinin imalatı (birleştirilebilir parkeler hariç)
16|Marangozluk|16.21.01|Ahşap, bambu ve diğer odunsu malzemelerden kaplamalık plaka, levha, vb. imalatı (yaprak halde) (preslenmemiş)
17|Marangozluk|16.21.02|Sıkıştırılmış lif, tahta ve tabakalardan kontrplak, MDF, sunta, OSB, CLT vb. levha imalatı
18|Marangozluk|16.22.01|Birleştirilmiş parke yer döşemelerinin imalatı
19|Marangozluk|16.23.99|Başka yerde sınıflandırılmamış diğer inşaat doğrama ve marangozluk ürünleri imalatı
20|Marangozluk|16.24.02|Palet, kutu palet ve diğer ahşap yükleme tablaları imalatı
21|Marangozluk|16.24.90|Diğer ahşap konteyner imalatı
22|Marangozluk|16.25.00|Ahşap kapı ve pencere imalatı
23|Marangozluk|16.27.00|Ahşap ürünlerin bitirilmesi
24|Marangozluk|16.28.01|Ahşap mutfak ve sofra eşyası imalatı (kaşık, kepçe, spatula, bardak, havan, havan eli, tepsi vb.)
25|Marangozluk|16.28.02|Ahşap çerçeve ve ahşaptan diğer eşyaların imalatı (panolar, tuval için çerçeveler, ip vb. için makaralar, arı kovanları, köpek kulübeleri dahil)
26|Marangozluk|16.28.03|Ahşaptan iş aletleri, alet gövdeleri, alet sapları, süpürge veya fırça gövdeleri ile sapları, ayakkabı kalıpları, ahşap mandal, elbise ve şapka askıları imalatı
27|Marangozluk|16.28.04|Hasır veya diğer örme malzemesinden (kamış, saz, saman vb.) eşyaların imalatı ile sepet türü ve hasır işi eşyaların imalatı
28|Marangozluk|16.28.05|Sedef kakma ahşap işleri, kakma ile süslü ahşap eşyalar, mücevher için veya çatal-kaşık takımı ve benzeri eşyalar için ahşap kutular, ahşap biblo, heykel ve diğer süslerin imalatı
29|Marangozluk|16.28.06|Doğal mantarın işlenmesi, aglomera mantar imalatı ile bunlardan eşyaların imalatı
30|Marangozluk|16.28.99|Başka yerde sınıflandırılmamış diğer ağaç ürünleri imalatı; mantardan, saz, saman ve benzeri örme malzemelerinden yapılmış ürünlerin imalatı
31|Marangozluk|25.63.03|Ahşap ve diğer malzemelerden kalıp ve döküm modeli imalatı (kek ve ayakkabı kalıpları hariç)
32|Marangozluk|32.99.07|Şemsiyeler, güneş şemsiyeleri, baston ve koltuklu baston, koltuk değneği vb. imalatı (parçaları dahil)
33|Marangozluk|32.99.11|Mantar can simitlerinin imalatı
34|Marangozluk|32.99.16|Yazı veya çizim tahtaları imalatı
35|Marangozluk|46.49.05|Hasır eşyalar, mantar eşyalar ve diğer ahşap ürünlerin toptan ticareti (ip vb. için makaralar dahil)
36|Marangozluk|46.49.25|Arı kovanı toptan ticareti
37|Marangozluk|46.83.14|Masif, lamine ve laminant parke toptan ticareti
38|Marangozluk|46.83.20|Ahşap kapı, pencere ve bunların kasaları ile kapı eşiklerinin toptan ticareti
39|Marangozluk|47.52.17|Ahşap kapı, pencere ve bunların kasaları ile kapı eşiklerinin perakende ticareti
40|Marangozluk|47.52.22|Masif, lamine ve laminant parke perakende ticareti
41|Marangozluk|47.55.04|Ahşap, mantar ve hasır eşyaların perakende ticareti (ahşap sofra ve mutfak eşyaları hariç)
42|Mobilya boyacılığı|31.00.06|Mobilyaların boyanması, verniklenmesi, cilalanması vb. tamamlayıcı işlerin yapılması
43|Mobilya döşemeciliği|31.00.05|Yatak ve yatak desteklerinin imalatı (kauçuk şişme yatak ve su yatağı hariç)
44|Mobilya döşemeciliği|31.00.08|Sandalyelerin, koltukların vb. döşenmesi gibi tamamlayıcı işlerin yapılması (büro ve ev mobilyalarının yeniden kaplanması hariç)
45|Mobilya döşemeciliği|95.24.01|Mobilyaların ve ev döşemelerinin onarım ve bakımı (halı ve kilim onarımı hariç)
46|Mobilya imalatı|31.00.01|Yatak odası, yemek odası, mutfak mobilyası, banyo dolabı, genç ve çocuk odası takımı, gardırop, vestiyer, vb. imalatı (gömme dolap, masa, zigon, vb. dahil)
47|Mobilya imalatı|31.00.02|Büro, okul, ibadethane, otel, lokanta, sinema, tiyatro vb. kapalı alanlar için mobilya imalatı (iskelet imalatı dahil; taş, beton, seramikten olanlar hariç)
48|Mobilya imalatı|31.00.03|Sandalye, koltuk, kanepe, oturma takımı, çekyat, divan, markiz, vb. imalatı (iskelet imalatı dahil; plastik olanlar ile bürolarda ve park ve bahçelerde kullanılanlar hariç)
49|Mobilya imalatı|31.00.04|Mağazalar için tezgah, banko, vitrin, raf, çekmeceli dolap vb. özel mobilya imalatı (laboratuvarlar ve teknik bürolar için olanlar hariç)
50|Mobilya imalatı|31.00.07|Park ve bahçelerde kullanılan bank, masa, tabure, sandalye, koltuk, vb. mobilyaların imalatı (plastik olanlar hariç)
51|Mobilya imalatı|31.00.90|Diğer mobilyaların imalatı
