id,name,city_id,district_id
1,ADANA İHTİSAS,1,1001
2,5 OCAK,1,1001
3,YÜREĞİR,1,1001
4,SEYHAN,1,1001
5,ZİYAPAŞA,1,1001
6,ÇUKUROVA,1,1001
7,CEYHAN,1,182
8,KOZAN,1,574
9,KARATAŞ,1,515
10,FEKE,1,347
11,KARAİSALI,1,505
12,POZANTI,1,757
13,SAİMBEYLİ,1,765
14,TUFANBEYLİ,1,894
15,YUMURTALIK,1,962
16,ALADAĞ,1,40
17,İMAMOĞLU,1,462
18,ADIYAMAN,2,627
19,KAHTA,2,490
20,BESNİ,2,137
21,ÇELİKHAN,2,223
22,GERGER,2,366
23,GÖLBAŞI,2,374
24,SAMSAT,2,769
25,SİNCİK,2,816
26,TUT,2,898
27,TINAZTEPE,3,628
28,KOCATEPE,3,628
29,DİNAR,3,280
30,BOLVADİN,3,157
31,EMİRDAĞ,3,316
32,SANDIKLI,3,771
33,ÇAY,3,212
34,DAZKIRI,3,256
35,İHSANİYE,3,457
36,SİNANPAŞA,3,814
37,SULTANDAĞI,3,829
38,ŞUHUT,3,865
39,BAŞMAKÇI,3,123
40,BAYAT,3,126
41,İSCEHİSAR,3,472
42,ÇOBANLAR,3,242
43,EVCİLER,3,339
44,HOCALAR,3,446
45,KIZILÖREN,3,555
46,AĞRI,4,629
47,DOĞUBEYAZIT,4,290
48,PATNOS,4,737
49,DİYADİN,4,282
50,ELEŞKİRT,4,312
51,HAMUR,4,421
52,TAŞLIÇAY,4,871
53,TUTAK,4,899
54,AMASYA,5,630
55,MERZİFON,5,679
56,GÜMÜŞHACIKÖY,5,398
57,TAŞOVA,5,872
58,SULUOVA,5,832
59,GÖYNÜCEK,5,389
60,HAMAMÖZÜ,5,420
61,ANADOLU İHTİSAS,6,1006
62,ANKARA İHTİSAS,6,1006
63,KAVAKLIDERE,6,1006
64,HİTİT,6,1006
65,OSTİM,6,1006
66,VERASET VE HARÇLAR,6,1006
67,MALTEPE,6,1006
68,YENİMAHALLE,6,1006
69,ÇANKAYA,6,1006
70,KIZILBEY,6,1006
71,MİTHATPAŞA,6,1006
72,ULUS,6,1006
73,YILDIRIM BEYAZIT,6,1006
74,SEĞMENLER,6,1006
75,DİKİMEVİ,6,1006
76,DOĞANBEY,6,1006
77,YEĞENBEY,6,1006
78,YAHYA GALİP,6,1006
79,MUHAMMET KARAGÜZEL,6,1006
80,GÖLBAŞI,6,1006
81,SİNCAN,6,1006
82,DIŞKAPI,6,1006
83,ETİMESGUT,6,1006
84,BAŞKENT,6,1006
85,CUMHURİYET,6,1006
86,KEÇİÖREN,6,1006
87,KAHRAMANKAZAN,6,1006
88,POLATLI,6,755
89,ŞEREFLİKOÇHİSAR,6,860
90,BEYPAZARI,6,147
91,ÇUBUK,6,1006
92,HAYMANA,6,435
93,ELMADAĞ,6,1006
94,AYAŞ,6,1006
95,BALÂ,6,1006
96,ÇAMLIDERE,6,194
97,GÜDÜL,6,393
98,KALECİK,6,1006
99,KIZILCAHAMAM,6,553
100,NALLIHAN,6,697
101,AKYURT,6,1006
102,EVREN,6,340
103,ANTALYA KURUMLAR,7,1007
104,ANTALYA İHTİSAS,7,1007
105,ÜÇKAPILAR,7,1007
106,KALEKAPI,7,1007
107,MURATPAŞA,7,1007
108,DÜDEN,7,1007
109,ALANYA,7,41
110,SERİK,7,801
111,MANAVGAT,7,612
112,ELMALI,7,314
